eid	date	description	amount	category
1443	7/28/2012	Jack in the Box	11	restaurants
571	8/24/2012	Big Y Foods	152	grocery
572	8/18/2012	FoodFair	77	grocery
573	8/23/2012	Sprouts Farmers Market	165	grocery
574	8/6/2012	Kroger brand gasoline	23	transportation
575	8/21/2012	Royal Farms	58	transportation
576	8/24/2012	Wawa	59	transportation
577	8/21/2012	dvd	25	entertainment
578	8/10/2012	dvds	15	entertainment
579	8/20/2012	Regal	25	entertainment
580	8/15/2012	UPS	339	home
581	8/18/2012	Walmart	498	home
582	8/29/2012	Walmart	415	home
583	8/18/2012	Lord & Taylor	81	shopping
584	8/30/2012	Last Call Neiman Marcus	65	shopping
585	8/28/2012	Arby's	6	restaurants
586	8/19/2012	Fazoli's	46	restaurants
587	8/7/2012	Little Caesars	34	restaurants
588	8/30/2012	Hooters	18	restaurants
589	8/30/2012	Redstone American Grill	26	restaurants
590	8/12/2012	LongHorn Steakhouse	7	restaurants
591	8/15/2012	Benihana	38	restaurants
592	8/21/2012	Popeyes Chicken & Biscuits	12	restaurants
593	8/10/2012	Jack in the Box	6	restaurants
594	9/9/2012	American Airlines	22	transportation
595	9/25/2012	Airport	64	transportation
596	9/23/2012	Valero	82	transportation
597	9/12/2012	Shell	48	transportation
598	9/19/2012	Conoco	59	transportation
599	9/7/2012	Netflix	7	entertainment
600	9/12/2012	Kirkland's	12	home
601	9/8/2012	Ikea	339	home
602	9/6/2012	Lowes	40	home
603	9/16/2012	GAP	193	shopping
605	9/21/2012	Off 5th Saks Fifth Avenue Outlet	26	shopping
606	9/16/2012	Southern Company	164	utilities
607	9/20/2012	DirectTV	165	utilities
608	9/27/2012	RA Sushi	16	restaurants
609	9/5/2012	Bubba Gump Shrimp Company	26	restaurants
610	9/29/2012	Mazzio's Italian Eatery	50	restaurants
1464	9/23/2012	Hess	29	transportation
611	10/13/2012	Nash Finch Company	161	grocery
612	10/5/2012	Island Pacific Supermarket	153	grocery
613	10/30/2012	Greyhound	94	transportation
614	10/6/2012	JetBlue	49	transportation
615	10/27/2012	Delta	35	transportation
616	10/29/2012	Royal Farms	55	transportation
617	10/19/2012	Pilot	77	transportation
618	10/13/2012	Hulu	16	entertainment
619	10/6/2012	dvd	10	entertainment
620	10/19/2012	movie	26	entertainment
621	10/22/2012	Office Depot	15	home
622	10/22/2012	AT&T	248	utilities
623	10/28/2012	In-N-Out Burger	17	restaurants
624	10/4/2012	Golden Chick	41	restaurants
625	10/7/2012	Fleming's Prime Steakhouse & Wine Bar	16	restaurants
627	10/22/2012	The Old Spaghetti Factory	50	restaurants
628	10/23/2012	Bennigan's	35	restaurants
629	10/4/2012	Sub Station II	19	restaurants
1046	10/22/2012	Delta	50	transportation
632	11/11/2012	Sheetz	55	transportation
633	11/15/2012	Exxon	33	transportation
634	11/26/2012	Sheetz	38	transportation
635	11/19/2012	Flying J	63	transportation
636	11/13/2012	dvd	29	entertainment
637	11/18/2012	Office Depot	370	home
638	11/17/2012	UPS	236	home
639	11/18/2012	Hollister	174	shopping
640	11/23/2012	GAP	22	shopping
641	11/17/2012	Younkers	114	shopping
642	11/18/2012	﻿Flint Energies	239	utilities
643	11/26/2012	T-Mobile	223	utilities
644	11/29/2012	Uno Chicago Grill	29	restaurants
645	11/29/2012	Jason's Deli	11	restaurants
646	11/6/2012	Whataburger	27	restaurants
647	11/12/2012	Mr. Hero	42	restaurants
648	11/24/2012	Denny's	47	restaurants
649	11/19/2012	Popeyes Chicken & Biscuits	47	restaurants
650	11/30/2012	Cheeseburger in Paradise	31	restaurants
651	11/18/2012	Olive Garden	16	restaurants
652	12/31/2012	Econofoods	59	grocery
653	12/14/2012	Roche Bros.	185	grocery
654	12/30/2012	Airport	65	transportation
655	12/3/2012	QuikTrip	66	transportation
656	12/18/2012	76	80	transportation
657	12/9/2012	Sheetz	78	transportation
658	12/4/2012	Conoco	56	transportation
659	12/8/2012	Greyhound	81	transportation
660	12/3/2012	Sheetz	42	transportation
661	12/31/2012	movies	12	entertainment
662	12/2/2012	dvd	5	entertainment
663	12/2/2012	dvd	22	entertainment
664	12/18/2012	Radioshack	212	home
665	12/27/2012	Radioshack	391	home
666	12/21/2012	Elder-Beerman	144	shopping
667	12/29/2012	Tennesse Valley Authority	69	utilities
668	12/16/2012	Georgia Institute of Technology	1938	special
669	12/27/2012	Port of Subs	29	restaurants
670	12/7/2012	Seattle's Best Coffee	15	restaurants
671	12/17/2012	Red Robin	44	restaurants
672	1/31/2013	Hulu	11	entertainment
673	1/14/2013	dvds	29	entertainment
674	1/1/2013	CVS	439	home
675	1/1/2013	Office Depot	51	home
676	1/20/2013	Subway	20	restaurants
1086	1/8/2013	Food Town	93	grocery
1087	1/19/2013	Kam Man Food	85	grocery
1541	1/31/2013	Hulu	28	entertainment
677	2/10/2013	Gelson's Markets	195	grocery
678	2/11/2013	Quality Foods	75	grocery
679	2/6/2013	Speedway	74	transportation
680	2/8/2013	Valero	66	transportation
681	2/15/2013	Sheetz	59	transportation
682	2/6/2013	Royal Farms	83	transportation
683	2/18/2013	Mobil	78	transportation
684	2/24/2013	movie	28	entertainment
685	2/17/2013	Netflix	21	entertainment
686	2/6/2013	books	19	entertainment
687	2/11/2013	Ikea	71	home
688	2/24/2013	Staples	164	home
689	2/25/2013	Comcast	214	utilities
690	2/3/2013	Pizza Ranch	18	restaurants
691	2/2/2013	Ledo Pizza	14	restaurants
692	2/19/2013	Coco's Bakery	14	restaurants
693	2/3/2013	Ground Round	16	restaurants
694	2/21/2013	Waffle House	40	restaurants
1565	2/1/2013	Elephant Bar	37	restaurants
695	3/28/2013	Uwajimaya	35	grocery
696	3/11/2013	Super 1 Foods	157	grocery
697	3/18/2013	Riesbeck's Food Markets	145	grocery
698	3/26/2013	Amoco	24	transportation
699	3/30/2013	movie	6	entertainment
700	3/2/2013	movies	6	entertainment
701	3/25/2013	Last Call Neiman Marcus	152	shopping
702	3/12/2013	Macy's	94	shopping
703	3/22/2013	Bloomingdale's	194	shopping
704	3/12/2013	Hollister	22	shopping
706	3/3/2013	Tmobile	83	utilities
707	3/16/2013	Ground Round	5	restaurants
708	3/7/2013	Domino's Pizza	10	restaurants
709	3/23/2013	L&L Hawaiian Barbecue	44	restaurants
710	4/29/2013	Karns Quality Foods	48	grocery
711	4/26/2013	Festival Foods	72	grocery
712	4/2/2013	Village market	181	grocery
713	4/24/2013	Phillips 66	55	transportation
714	4/22/2013	Chevron	79	transportation
715	4/28/2013	Texaco	21	transportation
716	4/7/2013	Kroger brand gasoline	42	transportation
717	4/20/2013	MARTA	96	transportation
718	4/30/2013	Sheetz	59	transportation
719	4/29/2013	BP	96	transportation
720	4/2/2013	QuickChek	60	transportation
721	4/28/2013	Staples	300	home
722	4/21/2013	Tennesse Valley Authority	55	utilities
723	4/5/2013	DirectTV	120	utilities
724	4/22/2013	Sizzler	11	restaurants
725	4/30/2013	Blimpie	24	restaurants
726	4/21/2013	Uno Chicago Grill	21	restaurants
727	4/21/2013	Denny's	10	restaurants
728	4/21/2013	Quaker Steak & Lube	26	restaurants
729	4/18/2013	Village Inn	6	restaurants
731	4/8/2013	Five Guys Famous Burgers and Fries	47	restaurants
732	4/27/2013	Montana Mike's	26	restaurants
733	5/9/2013	99 Ranch Market	34	grocery
734	5/10/2013	Pilot	46	transportation
735	5/10/2013	Amtrak	38	transportation
736	5/13/2013	American Airlines	53	transportation
737	5/9/2013	Speedway	29	transportation
738	5/10/2013	Shell	93	transportation
739	5/2/2013	Regal	25	entertainment
740	5/16/2013	Kirkland's	403	home
741	5/17/2013	Mitchell's Fish Market	16	restaurants
742	5/4/2013	Bojangles' Famous Chicken 'n Biscuits	18	restaurants
743	5/24/2013	The Melting Pot	29	restaurants
744	5/4/2013	"	"""""	32	restaurants
1167	5/12/2013	Lord & Taylor	132	shopping
1171	5/4/2013	Buffalo Wild Wings	21	restaurants
1613	5/6/2013	Bertucci's	43	restaurants
1620	5/13/2013	CiCi's Pizza	37	restaurants
746	6/29/2013	King Kullen	51	grocery
747	6/14/2013	Texaco	91	transportation
749	6/21/2013	Kroger brand gasoline	88	transportation
750	6/12/2013	dvd	11	entertainment
751	6/3/2013	dvds	10	entertainment
752	6/3/2013	Home Depot	384	home
753	6/8/2013	CVS	42	home
754	6/17/2013	Best Buy	353	home
755	6/29/2013	Boston Store	96	shopping
756	6/9/2013	Off 5th Saks Fifth Avenue Outlet	96	shopping
757	6/11/2013	JCPenney	119	shopping
758	6/5/2013	AT&T	251	utilities
759	6/6/2013	LongHorn Steakhouse	9	restaurants
760	6/30/2013	GameWorks	41	restaurants
761	6/20/2013	Black-eyed Pea	12	restaurants
762	6/7/2013	Qdoba Mexican Grill	20	restaurants
763	6/26/2013	Red Robin	12	restaurants
764	6/22/2013	Jack in the Box	46	restaurants
765	6/6/2013	Lyon's	22	restaurants
766	6/22/2013	Auntie Anne's	43	restaurants
767	6/3/2013	Claim Jumper	29	restaurants
768	6/5/2013	Rock Bottom	13	restaurants
769	7/18/2013	Fred Meyer	113	grocery
770	7/31/2013	Gulf	61	transportation
771	7/3/2013	Netflix	11	entertainment
772	7/12/2013	Regal	25	entertainment
773	7/27/2013	Staples	385	home
774	7/24/2013	Bergdorf Goodman	112	shopping
775	7/8/2013	Herberger's	60	shopping
776	7/24/2013	The Bon-Ton	123	shopping
779	7/10/2013	Planet Hollywood	36	restaurants
780	7/20/2013	Bubba Gump Shrimp Company	20	restaurants
781	7/29/2013	East of Chicago Pizza	37	restaurants
782	7/1/2013	Carl's Jr.	14	restaurants
783	7/31/2013	Which Wich?	20	restaurants
784	7/25/2013	Raising Cane's Chicken Fingers	39	restaurants
785	7/17/2013	Sub Station II	20	restaurants
786	8/9/2013	Nugget Markets	173	grocery
787	8/16/2013	Food 4 Less	42	grocery
788	8/14/2013	Bruno's Supermarkets	145	grocery
789	8/14/2013	Shell	26	transportation
790	8/7/2013	JetBlue	65	transportation
792	8/18/2013	RaceTrac/Raceway	61	transportation
793	8/14/2013	Pilot	98	transportation
794	8/20/2013	gas	100	transportation
795	8/5/2013	gas	65	transportation
796	8/27/2013	Travelcenters of America	28	transportation
797	8/8/2013	movie	8	entertainment
798	8/2/2013	Home Depot	47	home
799	8/3/2013	Younkers	43	shopping
800	8/22/2013	Hollister	103	shopping
801	8/17/2013	Sears Essentials	132	shopping
802	8/15/2013	Saks Fifth Avenue	69	shopping
803	8/19/2013	Georgia Power	146	utilities
804	8/7/2013	Sprint	203	utilities
805	8/7/2013	Whataburger	8	restaurants
806	8/28/2013	Gatti's Pizza	43	restaurants
807	8/2/2013	The Old Spaghetti Factory	28	restaurants
808	8/27/2013	Claim Jumper	27	restaurants
809	9/3/2013	Ingles	102	grocery
810	9/18/2013	Sunoco	77	transportation
811	9/23/2013	Amtrak	35	transportation
812	9/9/2013	MARTA	77	transportation
813	9/6/2013	7-Eleven brand gasoline	96	transportation
814	9/8/2013	Sinclair	44	transportation
815	9/17/2013	dvd	25	entertainment
816	9/28/2013	Radioshack	405	home
817	9/16/2013	Radioshack	130	home
818	9/11/2013	Radioshack	14	home
819	9/25/2013	Macy's	63	shopping
820	9/10/2013	Belk	162	shopping
821	9/7/2013	Aeropostale	164	shopping
822	9/24/2013	Sears Essentials	120	shopping
823	9/11/2013	Off 5th Saks Fifth Avenue Outlet	38	shopping
824	9/2/2013	Miller's Ale House	21	restaurants
825	9/11/2013	Rally's	11	restaurants
826	9/4/2013	Don Pablo's	27	restaurants
827	9/3/2013	Sweet Tomatoes	6	restaurants
828	10/29/2013	QuikTrip	46	transportation
829	10/12/2013	Chevron	49	transportation
830	10/16/2013	JetBlue	45	transportation
831	10/29/2013	Target	142	home
832	10/18/2013	Target	259	home
833	10/11/2013	Von Maur	95	shopping
834	10/13/2013	Boscov's	152	shopping
835	10/3/2013	Bergner's	45	shopping
836	10/14/2013	Golden Chick	17	restaurants
837	10/13/2013	Runza	16	restaurants
1717	10/7/2013	H&M	181	shopping
838	11/6/2013	Rouse's Supermarket	149	grocery
839	11/17/2013	Kroger brand gasoline	30	transportation
841	11/11/2013	Mobil	36	transportation
842	11/19/2013	"Gas City, Ltd."	47	transportation
843	11/1/2013	Office Depot	195	home
844	11/28/2013	Office Depot	197	home
845	11/11/2013	Kirkland's	40	home
846	11/24/2013	Boston Store	156	shopping
849	11/14/2013	Aeropostale	127	shopping
850	11/16/2013	Lord & Taylor	103	shopping
851	11/10/2013	﻿Flint Energies	138	utilities
852	11/20/2013	Southern Company	69	utilities
853	11/30/2013	Camille's Sidewalk Cafe	6	restaurants
854	11/7/2013	Cheeseburger in Paradise	48	restaurants
855	11/11/2013	Houston's Restaurant	42	restaurants
856	11/17/2013	Mitchell's Fish Market	22	restaurants
857	11/1/2013	Sweet Tomatoes	16	restaurants
858	11/24/2013	Romano's Macaroni Grill	24	restaurants
859	11/12/2013	Swensons	38	restaurants
860	11/28/2013	Rax	38	restaurants
861	11/8/2013	Fresh Choice	6	restaurants
862	11/29/2013	Tilted Kilt	24	restaurants
1282	11/25/2013	Spartan Stores	151	grocery
863	12/7/2013	Haggen Food & Pharmacy	107	grocery
864	12/12/2013	Smart & Final	156	grocery
865	12/29/2013	Wawa	92	transportation
866	12/11/2013	Sinclair	93	transportation
867	12/12/2013	Sunoco	85	transportation
868	12/20/2013	Hess	67	transportation
869	12/16/2013	movie	25	entertainment
870	12/17/2013	Newegg	28	home
871	12/19/2013	Off 5th Saks Fifth Avenue Outlet	79	shopping
872	12/2/2013	Lord & Taylor	181	shopping
873	12/27/2013	Bergner's	51	shopping
874	12/7/2013	JCPenney	174	shopping
875	12/25/2013	Tennesse Valley Authority	135	utilities
876	12/16/2013	Georgia Power	86	utilities
877	12/29/2013	Moe's Southwest Grill	36	restaurants
878	12/16/2013	Copeland's	20	restaurants
879	12/15/2013	Little Caesars	42	restaurants
880	12/22/2013	Qdoba Mexican Grill	23	restaurants
881	12/30/2013	Dunkin' Donuts	46	restaurants
882	1/2/2012	Royal Ahold	169	grocery
883	1/11/2012	Murphy's Marketplace	104	grocery
884	1/30/2012	Getty	34	transportation
885	1/1/2012	RaceTrac/Raceway	27	transportation
886	1/28/2012	MARTA	96	transportation
887	1/6/2012	Marathon Oil	61	transportation
889	1/31/2012	Radioshack	243	home
890	1/20/2012	Elder-Beerman	134	shopping
891	1/3/2012	Parisian (Bon-Ton)	137	shopping
892	1/17/2012	Belk	95	shopping
893	1/11/2012	Last Call Neiman Marcus	149	shopping
894	1/19/2012	JCPenney	57	shopping
895	2/23/2012	Roche Bros.	137	grocery
896	2/7/2012	Island Pacific Supermarket	191	grocery
897	2/22/2012	Exxon	79	transportation
898	2/24/2012	QuickChek	72	transportation
899	2/18/2012	Chevron	80	transportation
900	2/6/2012	MARTA	45	transportation
901	2/7/2012	Texaco	53	transportation
902	2/3/2012	7-Eleven brand gasoline	84	transportation
903	2/14/2012	Shell	53	transportation
904	2/26/2012	movies	17	entertainment
905	2/15/2012	books	25	entertainment
906	2/3/2012	Ikea	264	home
907	2/26/2012	Best Buy	193	home
908	2/19/2012	Newegg	59	home
909	2/17/2012	Home Depot	336	home
910	2/25/2012	Sears Essentials	53	shopping
911	2/18/2012	Sears Essentials	126	shopping
912	2/21/2012	Herberger's	69	shopping
913	2/17/2012	Boston Store	160	shopping
914	2/6/2012	Off 5th Saks Fifth Avenue Outlet	171	shopping
915	2/17/2012	DirectTV	287	utilities
916	3/24/2012	Marsh	157	grocery
917	3/26/2012	Natural Grocers by Vitamin Cottage	109	grocery
918	3/3/2012	JetBlue	64	transportation
919	3/24/2012	Southwest	94	transportation
920	3/17/2012	movie	20	entertainment
921	3/1/2012	movies	12	entertainment
922	3/19/2012	Lowes	211	home
923	3/24/2012	Bergner's	87	shopping
924	3/28/2012	Aeropostale	87	shopping
925	3/24/2012	Sears	172	shopping
926	3/28/2012	AT&T	110	utilities
927	3/4/2012	Dish Network	53	utilities
928	3/13/2012	Ga tech	3180	special
929	3/18/2012	Ben & Jerry's	30	restaurants
930	3/2/2012	Bakers Square	6	restaurants
931	3/23/2012	Miller's Ale House	40	restaurants
932	3/30/2012	Panera Bread	6	restaurants
933	3/10/2012	Smokey Bones	14	restaurants
934	3/31/2012	Smokey Bones	33	restaurants
936	4/4/2012	Foodtown	185	grocery
937	4/8/2012	Seafood City	99	grocery
938	4/1/2012	QuikTrip	100	transportation
939	4/15/2012	movies	25	entertainment
941	4/13/2012	Staples	347	home
942	4/10/2012	UPS	464	home
944	4/10/2012	Boston Store	89	shopping
945	4/20/2012	H&M	99	shopping
946	4/6/2012	Tennesse Valley Authority	170	utilities
947	5/16/2012	Stewart's Shops	37	grocery
948	5/2/2012	Amoco	56	transportation
949	5/30/2012	Love's	62	transportation
950	5/24/2012	Cumberland Farms	36	transportation
951	5/31/2012	Conoco	77	transportation
952	5/26/2012	Travelcenters of America	53	transportation
953	5/27/2012	Ikea	32	home
954	5/16/2012	Newegg	455	home
955	5/23/2012	Sears	155	shopping
956	5/22/2012	At&t.com	129	utilities
957	5/3/2012	Lee Roy Selmon's	37	restaurants
958	5/7/2012	The Capital Grille	43	restaurants
1391	5/30/2012	ARCO	63	transportation
959	6/17/2012	Quality Markets	162	grocery
960	6/5/2012	Acme Fresh Market	144	grocery
961	6/30/2012	Getty	65	transportation
962	6/5/2012	QuickChek	75	transportation
963	6/25/2012	Shell	41	transportation
964	6/27/2012	QuickChek	67	transportation
965	6/30/2012	Sinclair	25	transportation
966	6/24/2012	gas	82	transportation
967	6/25/2012	Southwest	40	transportation
968	6/21/2012	Citgo	96	transportation
969	6/15/2012	Hulu	17	entertainment
970	6/21/2012	dvds	23	entertainment
972	6/29/2012	Home Depot	438	home
973	6/18/2012	Kirkland's	483	home
974	6/23/2012	Costco	34	home
975	6/4/2012	H&M	167	shopping
977	6/7/2012	Last Call Neiman Marcus	72	shopping
978	6/2/2012	Saks Fifth Avenue	63	shopping
979	6/29/2012	Younkers	43	shopping
1413	6/23/2012	Gulf	65	transportation
980	7/9/2012	The Fresh Grocer	27	grocery
981	7/8/2012	7-Eleven brand gasoline	67	transportation
982	7/12/2012	MARTA	59	transportation
983	7/4/2012	Hess	51	transportation
984	7/9/2012	Shell	47	transportation
985	7/11/2012	Conoco	24	transportation
987	7/20/2012	Amoco	93	transportation
988	7/14/2012	movies	26	entertainment
989	7/10/2012	books	7	entertainment
990	7/17/2012	Target	130	home
991	7/23/2012	Office Depot	156	home
992	7/6/2012	Target	209	home
993	7/8/2012	Macy's	68	shopping
994	7/28/2012	Aeropostale	22	shopping
995	7/13/2012	At&t.com	268	utilities
996	7/8/2012	Comcast	223	utilities
997	7/29/2012	Pei Wei Asian Diner	19	restaurants
998	7/30/2012	Panera Bread	8	restaurants
999	7/10/2012	Roy's	38	restaurants
1000	7/31/2012	Domino's Pizza	43	restaurants
1002	7/9/2012	Church's	7	restaurants
1003	7/20/2012	Applebee's	44	restaurants
1434	7/3/2012	Hulu	16	entertainment
1004	8/1/2012	Kroger brand gasoline	66	transportation
1005	8/16/2012	Sinclair	51	transportation
1006	8/3/2012	7-Eleven brand gasoline	59	transportation
1007	8/26/2012	ARCO	43	transportation
1008	8/26/2012	Royal Farms	75	transportation
1009	8/8/2012	books	27	entertainment
1010	8/19/2012	Regal	10	entertainment
1011	8/19/2012	Costco	18	home
1012	8/24/2012	Target	79	home
1013	8/18/2012	Kirkland's	291	home
1014	8/24/2012	Miller's Ale House	32	restaurants
1015	8/6/2012	Burger Street	30	restaurants
1016	8/27/2012	Saladworks	5	restaurants
1017	8/3/2012	BJ's Restaurant & Brewery	12	restaurants
1018	8/26/2012	Coco's Bakery	11	restaurants
1019	8/22/2012	Sub Station II	19	restaurants
1020	8/26/2012	National Coney Island	27	restaurants
1021	8/3/2012	Rainforest Cafe	41	restaurants
1023	8/1/2012	Camille's Sidewalk Cafe	42	restaurants
1024	9/16/2012	Minyard's	195	grocery
1025	9/25/2012	The Great Atlantic and Pacific Tea Company (A&P)	112	grocery
1026	9/26/2012	movie	21	entertainment
1027	9/27/2012	dvds	11	entertainment
1028	9/6/2012	Lowes	141	home
1029	9/1/2012	Sears	75	shopping
1030	9/20/2012	The Bon-Ton	164	shopping
1031	9/12/2012	GAP	120	shopping
1032	9/1/2012	Which Wich?	21	restaurants
1033	9/23/2012	RA Sushi	29	restaurants
1034	9/3/2012	﻿A&W Restaurants	38	restaurants
1035	9/22/2012	Quaker Steak & Lube	42	restaurants
1036	9/7/2012	Charlie Brown's Steakhouse	45	restaurants
1037	9/7/2012	Cold Stone Creamery	16	restaurants
1039	10/19/2012	Chevron	67	transportation
1040	10/21/2012	Gulf	34	transportation
1041	10/25/2012	Amoco	66	transportation
1042	10/8/2012	Delta	48	transportation
1043	10/6/2012	Valero	33	transportation
1044	10/31/2012	Wawa	23	transportation
1045	10/1/2012	Sheetz	86	transportation
1047	10/9/2012	Hulu	5	entertainment
1048	10/25/2012	Lowes	301	home
1049	10/14/2012	Saks Fifth Avenue	127	shopping
1050	10/18/2012	H&M	196	shopping
1051	10/31/2012	Bloomingdale's	105	shopping
1052	10/19/2012	Belk	123	shopping
1053	10/14/2012	Sprint	153	utilities
1054	10/31/2012	Alabama Power	268	utilities
1055	10/28/2012	Tony Roma's	48	restaurants
1056	10/19/2012	Chi-Chi's	16	restaurants
1057	10/22/2012	Penn Station (restaurant)	49	restaurants
1058	10/31/2012	Bennigan's	44	restaurants
1059	10/26/2012	Qdoba Mexican Grill	26	restaurants
1060	10/8/2012	Golden Corral	34	restaurants
1061	10/25/2012	Pizza Ranch	28	restaurants
1495	10/2/2012	BJ's Restaurant & Brewery	13	restaurants
1062	11/25/2012	Lunds	112	grocery
1063	11/13/2012	Lunds	90	grocery
1064	11/6/2012	David's Supermarkets	96	grocery
1065	11/5/2012	Royal Farms	46	transportation
1066	11/9/2012	MARTA	55	transportation
1067	11/13/2012	76	81	transportation
1068	11/6/2012	Home Depot	480	home
1069	11/2/2012	Kohl's	48	shopping
1070	12/6/2012	Festival Foods	142	grocery
1071	12/17/2012	Bruno's Supermarkets	127	grocery
1072	12/28/2012	Delta	47	transportation
1073	12/27/2012	Radioshack	488	home
1074	12/18/2012	Kirkland's	417	home
1075	12/20/2012	Radioshack	215	home
1077	12/31/2012	Nordstrom	191	shopping
1078	12/30/2012	Shoney's	28	restaurants
1079	12/24/2012	Jersey Mike's Subs	47	restaurants
1080	12/3/2012	Champps Americana	23	restaurants
1081	12/10/2012	﻿A&W Restaurants	33	restaurants
1082	12/9/2012	"	"""""	7	restaurants
1083	12/15/2012	Olive Garden	20	restaurants
1084	12/14/2012	Atlanta Bread Company	47	restaurants
1085	1/13/2013	Stater Brothers	102	grocery
1088	1/6/2013	RaceTrac/Raceway	67	transportation
1090	1/4/2013	QuickChek	68	transportation
1091	1/18/2013	Royal Farms	94	transportation
1092	1/3/2013	Shell	51	transportation
1093	1/25/2013	Speedway	24	transportation
1094	1/22/2013	movie	18	entertainment
1095	1/20/2013	Bergdorf Goodman	152	shopping
1096	1/3/2013	JCPenney	99	shopping
1097	1/7/2013	Carson Pirie Scott	31	shopping
1098	1/24/2013	Ruby Tuesday	14	restaurants
1099	1/20/2013	Whataburger	31	restaurants
1100	1/25/2013	Boston Market	5	restaurants
1101	1/8/2013	Carvel Ice Cream	40	restaurants
1102	1/15/2013	Steak 'n Shake	27	restaurants
1103	1/26/2013	Texas Roadhouse	15	restaurants
1104	1/29/2013	Popeyes Chicken & Biscuits	29	restaurants
1105	1/9/2013	T.G.I. Friday's	45	restaurants
1548	1/29/2013	Roy's	18	restaurants
1106	2/4/2013	Kuhn's Quality Foods	198	grocery
1107	2/11/2013	76	98	transportation
1108	2/22/2013	Royal Farms	60	transportation
1109	2/20/2013	Conoco	59	transportation
1110	2/13/2013	"Gas City, Ltd."	93	transportation
1111	2/25/2013	Shell	48	transportation
1112	2/22/2013	Ikea	41	home
1113	2/11/2013	Radioshack	272	home
1114	2/16/2013	Parisian (Bon-Ton)	181	shopping
1115	2/1/2013	Neiman Marcus	153	shopping
1116	2/11/2013	Last Call Neiman Marcus	64	shopping
1117	2/19/2013	Alabama Power	60	utilities
1118	2/8/2013	McAlister's Deli	38	restaurants
1119	2/26/2013	Smokey Bones	41	restaurants
1121	3/3/2013	Mi Pueblo Food Center	88	grocery
1122	3/14/2013	"Gas City, Ltd."	62	transportation
1123	3/12/2013	Sheetz	34	transportation
1124	3/30/2013	Amtrak	88	transportation
1125	3/1/2013	Valero	79	transportation
1126	3/9/2013	Getty	32	transportation
1127	3/27/2013	BP	43	transportation
1128	3/29/2013	Best Buy	113	home
1129	3/13/2013	Georgia Power	51	utilities
1131	3/26/2013	The Original Pancake House	29	restaurants
1132	3/20/2013	Jason's Deli	23	restaurants
1133	3/26/2013	Trader Vic's	32	restaurants
1134	3/7/2013	The Old Spaghetti Factory	21	restaurants
1135	3/13/2013	Wienerschnitzel	11	restaurants
1136	3/10/2013	White Castle	38	restaurants
1137	3/30/2013	Shoney's	46	restaurants
1138	3/11/2013	McDonald's	8	restaurants
1139	3/10/2013	Chi-Chi's	32	restaurants
1140	3/5/2013	Whataburger	46	restaurants
1141	4/29/2013	Buehler's	34	grocery
1142	4/24/2013	Amtrak	59	transportation
1144	4/28/2013	books	21	entertainment
1146	4/23/2013	H&M	136	shopping
1147	4/13/2013	Boston Store	76	shopping
1148	4/10/2013	Boston Store	97	shopping
1149	4/7/2013	Boscov's	61	shopping
1150	4/26/2013	Herberger's	184	shopping
1151	4/4/2013	Georgia Power	126	utilities
1152	4/14/2013	Chili's	16	restaurants
1153	4/11/2013	Arctic Circle Restaurants	47	restaurants
1154	4/3/2013	RA Sushi	12	restaurants
1155	4/29/2013	Jason's Deli	50	restaurants
1156	4/18/2013	In-N-Out Burger	48	restaurants
1157	4/11/2013	Montana Mike's	11	restaurants
1159	4/13/2013	Logan's Roadhouse	48	restaurants
1160	5/6/2013	Amoco	92	transportation
1161	5/10/2013	movies	29	entertainment
1162	5/25/2013	UPS	348	home
1163	5/12/2013	Ikea	59	home
1164	5/29/2013	Newegg	358	home
1165	5/30/2013	Staples	179	home
1166	5/2/2013	Elder-Beerman	40	shopping
1168	5/22/2013	Barneys New York	52	shopping
1169	5/30/2013	Sears Essentials	184	shopping
1170	5/8/2013	Bloomingdale's	130	shopping
1172	5/16/2013	Houston's Restaurant	30	restaurants
1173	5/13/2013	Redstone American Grill	46	restaurants
1174	5/3/2013	Five Guys Famous Burgers and Fries	50	restaurants
1175	5/25/2013	Montana Mike's	44	restaurants
1176	5/15/2013	Elephant Bar	26	restaurants
1177	5/7/2013	Taco Bueno	40	restaurants
1178	5/26/2013	El Pollo Loco	21	restaurants
1179	5/1/2013	Green Mill	31	restaurants
1180	5/11/2013	Panda Express	30	restaurants
1606	5/6/2013	Chevron	86	transportation
1617	5/11/2013	Golden Chick	28	restaurants
1181	6/5/2013	Amtrak	20	transportation
1182	6/8/2013	Wawa	58	transportation
1183	6/6/2013	Texaco	63	transportation
1184	6/15/2013	Shell	35	transportation
1185	6/6/2013	books	27	entertainment
1186	6/5/2013	Hulu	7	entertainment
1189	6/17/2013	Macy's	166	shopping
1190	6/12/2013	DirectTV	101	utilities
1191	6/18/2013	Black Angus Steakhouse	14	restaurants
1192	6/23/2013	Olive Garden	10	restaurants
1193	6/7/2013	L&L Hawaiian Barbecue	23	restaurants
1194	6/24/2013	Godfather's Pizza	22	restaurants
1195	6/30/2013	Pei Wei Asian Diner	22	restaurants
1196	6/18/2013	Applebee's	23	restaurants
1197	6/1/2013	Golden Chick	44	restaurants
1198	6/16/2013	Eegee's	25	restaurants
1199	6/23/2013	Bertucci's	48	restaurants
1200	6/11/2013	Papa Gino's	18	restaurants
1201	7/16/2013	FreshDirect	154	grocery
